content,score
Sangat terbantu dengan adanya aplikasi ini,5
Saya penjual tanaman hias yang baru memulai usaha ini.Awalnya sangat bingung ketika saya harus keringat dari persatu nama tanaman saat berbelanja tanaman dan saat menjualnya karena saya tidak mengenal nama2nya.Lalu saya coba mencari cari Aplikasinya dan Alhamdulillah saya menemukan ya disini.Sekarang tidak perlu bingung2 lagi..hanya dengan mengaktifkan kamera dan mengarahkan kan tanaman yang saya ingin tahu.Makasih plaNT SnAP...,5
"Amazing sih ini, keren gila. Saya respectful pada Developer nya. Terus dikembangkan, jangan patah semangat menyelaraskan alam dan teknologi. Saya sudah beli Premium. Salam lestari",5
"kalo ada yang bilang ini aplikasi yang tidak berguna, mohon pikir lagi,, jangan mengandalkan aplikasi global untuk menganalisa hal2 disekitar kita, jika anda tinggal diindonesia menggunakan aplikasi ini namun tidak berjalan sesuai dengan harapan anda itu sepenuhnya BUKAN KESALAHAN DARI APLIKASI INGAT!!! DENGAN KEBERAGAMAN BAHASA DI INDONESIA, membuat analisa nama dan jenis tumbuhan dari aplikasi ini TIDAK SEPENUHNYA SAMA DENGAN NAMA DAN JENIS TUMBUHAN DIDAERAH ANDA !!",5
aplikasi canggih yang sangatlah membantu buat saya terkhusus bagi anak-anak saya agar lebih cepat mengetahui jenis tanaman dan pastinya memberikan tambahan ilmu yang sangatlah berguna bagi pengetahuan,5
aplikasi sensor detektor tanaman yg sangat membantu memudahkan segalanya khususnya mengenal mempelajari menjelajah banyak kehiduoan disekitar kita🙏,5
"Aplikasinya bagus banget dan sangat membantu, apalagi untuk mahasiswa biologi 👍",5
"Suka banget aplikasi ini sehingga dapat menemukan profil lengkap tanaman disekitar, terima kasih.",5
yg tidak bisa identifikasi berarti kamera hp nya saja yg burik.,5
Mempermudah pengenalan tanaman di sekitar dan tempat lain terima kasih.,5
memuaskan tpi perlu di tingkatan durasi pngambilan gambarnya maksih,5
"aplikasi yang sangat bagus, pengen banget nanti langganan yang premium, good luck",5
"Sangat mudah d membantu kebutuhan akan nama tanaman koleksi saya, trmkasih",5
"Koleksinya kurang banyak, sehingga banyak yang tidak terditeksi.",5
Aku menggunakan aplikasi ini karena aku asli pohon-pohon itu & aku memakainya demi untuk memenuhi kebutuhan hidup yang semakin lama semakin ..... tidak dapat ku jangkau... (mahal bgt aku ga kuat),5
Sangat membantu buat para pencinta tanaman.,5
App sangat membantu aku jadi lebih mudah untuk membuat tugas laproan tentang tumbuhan obat AlHAMDULILAH nilai farmasi ku jadi lebih baik,5
"Bagus sekali,tapi tempatku jauh dari kota tidak ada jaringan, tidak bisa kupakai.",5
Dng aplikasi ini saya bisa belajar ttg tanaman....terimakasih semua,5
